Species,Weight,Length1,Length2,Length3,Height,Width
鲫鱼,242.0,23.2,25.4,30.0,11.5,4.0
鲫鱼,290.0,24.0,26.3,31.2,12.5,4.4
鲫鱼,340.0,23.9,26.5,31.1,12.3,4.6
鲫鱼,363.0,26.3,29.0,33.5,12.7,4.9
鲫鱼,430.0,26.5,29.0,34.0,12.4,5.0
鲤鱼,450.0,26.8,29.7,34.7,13.6,4.9
鲤鱼,500.0,26.8,29.7,34.5,14.1,5.0
鲤鱼,390.0,27.6,30.0,35.0,12.8,4.2
鲤鱼,450.0,27.6,30.0,35.1,14.0,4.6
鲤鱼,500.0,28.5,30.7,36.2,14.2,4.7
草鱼,680.0,31.8,35.0,40.6,16.8,6.2
草鱼,700.0,32.0,35.0,40.5,16.5,6.3
草鱼,725.0,33.5,38.0,43.1,18.0,6.3
草鱼,720.0,35.0,38.5,44.0,18.7,6.0
草鱼,714.0,34.0,36.5,39.0,18.6,5.8
鲢鱼,1000.0,37.3,40.0,43.5,19.2,6.4
鲢鱼,1100.0,39.0,42.0,44.6,19.8,6.6
鲢鱼,1000.0,38.5,41.0,45.3,18.7,6.3
鲢鱼,1000.0,39.8,43.0,45.2,19.6,6.5
鲢鱼,1100.0,40.5,44.0,46.0,20.0,6.8 
