监测时间,省份,流域,断面名称,水温,pH,溶氧量,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,现场情况
2023-07-01 08:00:00,上海市,黄浦江,外白渡桥,25.3,7.8,6.5,520,5.2,3.2,0.4,0.08,1.2,正常
2023-07-02 08:00:00,上海市,黄浦江,外白渡桥,25.5,7.7,6.4,525,5.5,3.3,0.45,0.09,1.3,正常
2023-07-03 08:00:00,上海市,黄浦江,外白渡桥,25.8,7.6,6.3,530,5.8,3.4,0.5,0.1,1.4,正常
2023-07-04 08:00:00,上海市,黄浦江,外白渡桥,26.0,7.5,6.2,535,6.0,3.5,0.55,0.11,1.5,正常
2023-07-05 08:00:00,上海市,黄浦江,外白渡桥,26.2,7.4,6.1,540,6.2,3.6,0.6,0.12,1.6,正常
2023-07-01 08:00:00,上海市,黄浦江,吴淞口,24.8,7.9,6.8,510,4.8,3.0,0.35,0.07,1.1,正常
2023-07-02 08:00:00,上海市,黄浦江,吴淞口,25.0,7.8,6.7,515,5.0,3.1,0.4,0.08,1.2,正常
2023-07-03 08:00:00,上海市,黄浦江,吴淞口,25.2,7.7,6.6,520,5.2,3.2,0.45,0.09,1.3,正常
2023-07-04 08:00:00,上海市,黄浦江,吴淞口,25.5,7.6,6.5,525,5.5,3.3,0.5,0.1,1.4,正常
2023-07-05 08:00:00,上海市,黄浦江,吴淞口,25.8,7.5,6.4,530,5.8,3.4,0.55,0.11,1.5,正常
2023-07-01 08:00:00,上海市,苏州河,提篮桥,26.0,7.4,5.8,550,7.0,4.0,0.8,0.15,1.8,正常
2023-07-02 08:00:00,上海市,苏州河,提篮桥,26.2,7.3,5.7,555,7.2,4.1,0.85,0.16,1.9,正常
2023-07-03 08:00:00,上海市,苏州河,提篮桥,26.5,7.2,5.6,560,7.5,4.2,0.9,0.17,2.0,异常
2023-07-04 08:00:00,上海市,苏州河,提篮桥,26.8,7.1,5.5,565,7.8,4.3,0.95,0.18,2.1,异常
2023-07-05 08:00:00,上海市,苏州河,提篮桥,27.0,7.0,5.4,570,8.0,4.4,1.0,0.19,2.2,维护中 
